"FARM","year","Plot","Size","TYPE_clean","plantID","totalBasal","AGM_kg"
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1530",23.7103066149892,3.32608227212992
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1531",18.0570106348544,2.71848185510485
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1532",18.1722285454248,2.7313177361041
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1533",16.8389366232413,2.58144667477021
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1534",21.363615442574,3.07901383574632
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1535",39.7968317976958,4.8809270637068
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1536",29.8546335268801,3.94501098817441
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1537",25.5571703962183,3.51607779597565
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1538",36.0219726049586,4.53365432374524
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1539",9.918243626832,1.74427160632367
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1489",1.03868907109313,0.327992359096982
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1490",0.976799695817406,0.313403963242211
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1491",4.05485363798835,0.899333848899936
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1492",6.36847954772455,1.25638690707706
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1493",25.1663562701118,3.47617845378965
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1494",28.4417022309281,3.80587066625784
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1495",27.7143449918058,3.73354645923399
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1496",37.3461539084467,4.65650228004394
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1497",33.4374628686666,4.2904388239766
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1498",45.822406507281,5.41812234376181
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1499",42.4272087867302,5.11785535359499
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1500",33.9919539720252,4.34301851793961
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1501",36.3208951459477,4.56148714477007
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1502",30.2377507509854,3.98244206185559
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1503",48.16257887494,5.62172176965082
"ADJU8",2023,"Plot 3","10x10","Co","ADJU8_23_1504",19.0020802448705,2.82315452127479
"ADJU8",2023,"Plot 4","10x10","Co","ADJU8_23_1505",27.5037012043826,3.71250971212496
"ADJU8",2023,"Plot 4","10x10","Co","ADJU8_23_1506",22.8052923113063,3.23158598995932
"ADJU8",2023,"Plot 4","10x10","Co","ADJU8_23_1507",29.5155771397415,3.9117806763319
"ADJU8",2023,"Plot 4","10x10","Co","ADJU8_23_1508",30.2076700013273,3.97950760045151
"ADJU8",2023,"Plot 4","10x10","Co","ADJU8_23_1509",32.7009164710325,4.22024437004756
"ADJU8",2023,"Plot 4","10x10","Co","ADJU8_23_1510",38.4815254934541,4.7609361587699
"ADJU8",2023,"Plot 4","10x10","Co","ADJU8_23_1511",35.3015268696741,4.46632557434287
"ADJU8",2023,"Plot 4","10x10","Co","ADJU8_23_1512",37.4550100938936,4.66655044467419
"ADJU8",2023,"Plot 4","10x10","Co","ADJU8_23_1513",14.8322443157608,2.34990512026086
"ADJU8",2023,"Plot 4","10x10","Co","ADJU8_23_1514",40.0933981441946,4.90783873951284
"ADJU8",2023,"Plot 4","10x10","Co","ADJU8_23_1515",15.3430672812345,2.40957854062824
"ADJU8",2023,"Plot 4","10x10","Co","ADJU8_23_1516",27.0731459312081,3.66938007522395
"ADJU8",2023,"Plot 4","10x10","Co","ADJU8_23_1517",27.9737620051759,3.75939723587036
"ADJU8",2023,"Plot 4","10x10","Co","ADJU8_23_1518",26.6172222973559,3.62351479018945
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_139",3.66435367114713,0.83435520887499
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_140",3.80132711084365,0.857342909039554
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_141",1.45714921255129,0.421449556208975
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_142",1.76714586764426,0.486165860175581
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_143",2.01061929829747,0.53493449453038
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_144",3.83148640031811,0.862375347631312
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_145",0.950331777710913,0.307092302484516
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_146",1.83508280877814,0.499940023195287
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_147",3.06745106696507,0.731411933658997
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_148",4.56057151539996,0.981124658427194
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_149",1.30698108370969,0.388833401259513
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_150",0.650388219109427,0.231894365115612
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_152",0.594467869875528,0.216957167550205
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_154",1.0028749148422,0.319578736865935
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_155",1.4957122623741,0.429681829152845
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_157",2.60155287643771,0.647404666185418
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_158",5.81068977207968,1.17392822894634
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_159",5.47391103961485,1.1231501562462
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_160",4.37435361085843,0.951295284928099
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_161",2.43284935093994,0.616043598365062
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_162",2.70334047841402,0.666070520528006
"ADJUCP",2022,"Plot 1","10x10","Co","ADJUCP_22_163",1.28679635091038,0.384377088123659
