"FARM","year","Plot","Size","plantID","TYPE","DBH_cm","basalA","gpsID","Notes","TYPE_clean"
"ADJU8",2023,"Plot 3","10x10","ADJU8_23_1502","Co",2.9,6.60519855417254,NA,"","Co"
"ADJU8",2023,"Plot 3","10x10","ADJU8_23_1502","Co",0.35,0.0962112750161874,NA,"","Co"
"ADJU8",2023,"Plot 3","10x10","ADJU8_23_1502","Co",3.57,10.0098210526841,NA,"","Co"
"ADJU8",2023,"Plot 3","10x10","ADJU8_23_1502","Co",4.15,13.5265198691126,NA,"","Co"
"ADJU8",2023,"Plot 3","10x10","ADJU8_23_1503","Co",4.1,13.2025431267111,NA,"","Co"
"ADJU8",2023,"Plot 3","10x10","ADJU8_23_1503","Co",4,12.5663706143592,NA,"","Co"
"ADJU8",2023,"Plot 3","10x10","ADJU8_23_1503","Co",3.85,11.6415642769587,NA,"","Co"
"ADJU8",2023,"Plot 3","10x10","ADJU8_23_1503","Co",3.7,10.7521008569111,NA,"","Co"
"ADJU8",2023,"Plot 3","10x10","ADJU8_23_1504","Co",0.7,0.38484510006475,NA,"","Co"
"ADJU8",2023,"Plot 3","10x10","ADJU8_23_1504","Co",2.82,6.24580035460187,NA,"","Co"
"ADJU8",2023,"Plot 3","10x10","ADJU8_23_1504","Co",0.95,0.708821842466197,NA,"","Co"
"ADJU8",2023,"Plot 3","10x10","ADJU8_23_1504","Co",2.45,4.71435247579318,NA,"","Co"
"ADJU8",2023,"Plot 3","10x10","ADJU8_23_1504","Co",1.48,1.72033613710577,NA,"","Co"
"ADJU8",2023,"Plot 3","10x10","ADJU8_23_1504","Co",2.58,5.22792433483878,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1505","Co",3.27,8.39818402139258,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1505","Co",1.19,1.11220233918713,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1505","Co",1.94,2.95592452776264,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1505","Co",0.96,0.723822947387088,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1505","Co",1.52,1.81458391671346,NA,"","Co"
"ADJU8",2023,"Plot 4","10x10","ADJU8_23_1505","Co",0.66,0.342119439975929,NA,"","Co"
