"FARM","TYPE","DBH_cm","basalA"
"UTUA20","Co",0.91,0.650388219109427
"UTUA20","Co",0.91,0.650388219109427
"UTUA20","Tree-Center",38.5,1164.15642769587
"UTUA20","Co",1.49,1.74366246255867
"UTUA20","Co",1.27,1.26676869774374
"UTUA20","Ba",7.6,45.3645979178366
"UTUA20","Ba",10.1,80.1184666481737
"UTUA20","Co",2.01,3.17308711994203
"UTUA20","Co",0.89,0.622113885227119
"UTUA20","Co",1.19,1.11220233918713
"UTUA20","Co",1.61,2.03583057934253
"UTUA20","Co",1.13,1.0028749148422
"UTUA20","Co",1.18,1.09358840271461
"UTUA20","Co",1.23,1.188228881404
"UTUA20","Co",0.73,0.4185386812745
"UTUA20","Co",0.98,0.75429639612691
"UTUA20","Co",0.6,0.282743338823081
"UTUA20","Co",1.59,1.98556509688509
"UTUA20","Co",1.21,1.1499014510302
"UTUA20","Co",2.12,3.52989350557349
"UTUA20","Co",1.27,1.26676869774374
"UTUA20","Co",0.75,0.441786466911065
"UTUA20","Co",1.2,1.13097335529233
"UTUA20","Co",0.71,0.395919214168654
"UTUA20","Co",0.86,0.580880481648753
"UTUA20","Ba",5.8,26.4207942166902
